ntab	code	nfocal	day	month	year	individual	group	length_focalsec	length_focalh
2	P102	102	24	7	2018	Luzon	A	1852	0.514444444
2	M135	135	5	7	2018	Aloha	B	1809	0.5025
3	Ti112	112	18	9	2018	Isabella	A	1805	0.501388889
2	P103	103	24	7	2018	Thassos	A	1835	0.509722222
5	Ti171	171	9	10	2018	Isabella	A	1845	0.5125
1	Ta34	34	22	5	2018	Isabella	A	1886	0.523888889
2	Ti61	61	19	6	2018	Isabella	A	1824	0.506666667
3	Ta129	129	26	7	2018	Isabella	A	1808	0.502222222
2	M136	136	5	7	2018	Tilos	B	1823	0.506388889
5	A79	79	30	9	2018	Isabella	A	1796	0.498888889
1	Ta8	8	8	5	2018	Isabella	A	1855	0.515277778
2	M137	137	5	7	2018	Latalata	B	1827	0.5075
2	M138	138	5	7	2018	Lefkada	A	1822	0.506111111
4	J30	30	20	9	2018	Isabella	A	1805	0.501388889
3	P104	104	24	7	2018	Paros	A	1822	0.506111111
2	Ta92	92	3	7	2018	Isabella	A	1808	0.502222222
2	M139	139	5	7	2018	Luzon	A	1813	0.503611111
2	M140	140	5	7	2018	Paros	A	1813	0.503611111
1	L34	34	14	6	2018	Jaco	B	1802	0.500555556
2	M141	141	5	7	2018	Thassos	A	1810	0.502777778
3	P105	105	24	7	2018	Lefkada	A	1836	0.51
1	M142	142	5	7	2018	Isabella	A	1810	0.502777778
2	P106	106	24	7	2018	Lucia	F	1847	0.513055556
3	A63	63	27	9	2018	Jaco	B	1831	0.508611111
1	L67	67	3	7	2018	Jaco	B	1836	0.51
2	M143	143	7	9	2018	Cambodia	J	1825	0.506944444
2	P107	107	24	7	2018	Gozo	F	1837	0.510277778
1	Ti38	38	18	5	2018	Jaco	B	1854	0.515
2	M144	144	7	9	2018	Colanta	J	1819	0.505277778
3	Ti150	150	23	9	2018	Jaco	B	1824	0.506666667
2	P108	108	24	7	2018	Tortuga	F	1828	0.507777778
2	M145	145	7	9	2018	Bahrain	J	1940	0.538888889
3	A57	57	19	9	2018	Jaco	B	1809	0.5025
2	M146	146	7	9	2018	Afganistan	J	1814	0.503888889
2	Ti82	82	18	7	2018	Jaco	B	1862	0.517222222
3	Ti111	111	18	9	2018	Jaco	B	1855	0.515277778
1	Ta93	93	4	7	2018	Jaco	B	1812	0.503333333
2	Ta101	101	12	7	2018	Jaco	B	1817	0.504722222
1	M147	147	7	9	2018	Armenia	J	1812	0.503333333
2	P109	109	24	7	2018	Pinos	F	1846	0.512777778
2	P110	110	25	7	2018	Bonacca	F	1862	0.517222222
2	P111	111	25	7	2018	Lucia	F	1843	0.511944444
3	J11	11	10	9	2018	Jaco	B	1866	0.518333333
4	J49	49	26	9	2018	Jaco	B	1797	0.499166667
1	Ti29	29	3	5	2018	Jaco	B	1923	0.534166667
2	Ta58	58	4	6	2018	Jaco	B	1805	0.501388889
3	Ta151	151	13	8	2018	Jaco	B	1806	0.501666667
4	J18	18	12	9	2018	Jaco	B	1830	0.508333333
1	Ta46	46	31	5	2018	Jaco	B	1842	0.511666667
2	Ti54	54	13	6	2018	Jaco	B	1852	0.514444444
3	Ti94	94	28	8	2018	Jaco	B	1863	0.5175
2	P112	112	25	7	2018	Tortuga	F	1840	0.511111111
1	M148	148	7	9	2018	Pakistan	J	1813	0.503611111
2	P113	113	25	7	2018	Caicos	F	1857	0.515833333
2	P114	114	25	7	2018	Pinos	F	1846	0.512777778
3	Ti116	116	19	9	2018	Kasachstan	J	1808	0.502222222
2	P115	115	25	7	2018	Mayaguana	F	1830	0.508333333
2	P116	116	25	7	2018	Latalata	B	1836	0.51
2	P117	117	25	7	2018	Jaco	B	1868	0.518888889
